Country,Clicks,Impressions,CTR,Position
Sudan,1,5,20%,16
Papua New Guinea,1,5,20%,37.2
Unknown Region,1,3,33.33%,7
Guinea,1,3,33.33%,10
Suriname,1,2,50%,11.5
Guinea-Bissau,1,1,100%,19
Bhutan,1,1,100%,26
Czechia,0,45,0%,32.71
Ireland,0,35,0%,29.89
Austria,0,26,0%,32.19
Namibia,0,25,0%,60.84
Latvia,0,22,0%,39.23
Libya,0,17,0%,56.53
Moldova,0,16,0%,34
Somalia,0,15,0%,21.67
Brunei,0,12,0%,42
Luxembourg,0,10,0%,59.3
Togo,0,9,0%,20.11
Maldives,0,9,0%,22.78
Guatemala,0,9,0%,37.44
Macedonia,0,8,0%,15.75
Lesotho,0,7,0%,20.43
Puerto Rico,0,7,0%,26.57
Belize,0,7,0%,41.29
Tajikistan,0,6,0%,6.5
Vanuatu,0,6,0%,19.83
Costa Rica,0,6,0%,23
Kyrgyzstan,0,5,0%,39.6
Malta,0,5,0%,51.8
Honduras,0,4,0%,11
Niger,0,4,0%,16
Burkina Faso,0,4,0%,16.75
Barbados,0,3,0%,8.33
Bahamas,0,3,0%,25.67
Chad,0,3,0%,71
Antigua & Barbuda,0,2,0%,6.5
Cuba,0,2,0%,9
Mauritania,0,2,0%,9
Gabon,0,2,0%,19
Andorra,0,2,0%,50.5
Iceland,0,2,0%,65.5
Comoros,0,2,0%,67
Liechtenstein,0,2,0%,72.5
Kosovo,0,1,0%,3
British Virgin Islands,0,1,0%,5
Cayman Islands,0,1,0%,7
Western Sahara,0,1,0%,7
Sint Maarten,0,1,0%,7
St. Lucia,0,1,0%,8
Faroe Islands,0,1,0%,10
Swaziland,0,1,0%,11
Micronesia,0,1,0%,12
US Virgin Islands,0,1,0%,12
Jersey,0,1,0%,35
St. Kitts & Nevis,0,1,0%,67
Equatorial Guinea,0,1,0%,121
